x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
336883.10045, 3449219.7514, 14.899279462, 0.759999990463, -0.42247534129, 0.178808487293, 0.0, 1600653322.8913, 0.105816428465, 1, 148.49620005, 0.0, 0.0, 91.9270858765
336883.105989, 3449219.75216, 14.8993615046, 0.759999990463, -0.377802939059, 0.178808487293, 0.0, 1600653322.9012, 0.108098840312, 1, 148.50380005, 0.0, 0.0, 91.9270858765
336883.111491, 3449219.75294, 14.8994323926, 0.759999990463, -0.367277232482, 0.178808487293, 0.0, 1600653322.9112, 0.110353807122, 1, 148.51140005, 0.0, 0.0, 91.9270858765
336883.116954, 3449219.75372, 14.8994966446, 0.759999990463, -0.372978367323, 0.178808487293, 0.0, 1600653322.9212, 0.112583306251, 1, 148.51900005, 0.0, 0.0, 91.9270858765
336883.122401, 3449219.75451, 14.8995477436, 0.759999990463, -0.389243377938, 0.178808487293, 0.0, 1600653322.9314, 0.11478837172, 1, 148.52660005, 0.0, 0.0, 91.9270858765
336883.12781, 3449219.75531, 14.8995857311, 0.740000009537, -0.338329776749, 0.178808487293, 0.0, 1600653322.9414, 0.116979672096, 1, 148.53400005, 0.0, 0.0, 91.9270858765
336883.133187, 3449219.75611, 14.8996120923, 0.740000009537, -0.332947644572, 0.178808487293, 0.0, 1600653322.9513, 0.119163478751, 1, 148.54140005, 0.0, 0.0, 91.9270858765
336883.138528, 3449219.75691, 14.8996352921, 0.740000009537, -0.36124865836, 0.178808487293, 0.0, 1600653322.9613, 0.121305955597, 1, 148.54880005, 0.0, 0.0, 91.9270858765
336883.143836, 3449219.75771, 14.8996608671, 0.740000009537, -0.313199165004, 0.178808487293, 0.0, 1600653322.9713, 0.123427169867, 1, 148.55620005, 0.0, 0.0, 91.9270858765
336883.149113, 3449219.7585, 14.8996852419, 0.72000002861, -0.308223373224, 0.178808487293, 0.0, 1600653322.9812, 0.125530420963, 1, 148.563400051, 0.0, 0.0, 91.9270858765
